MONTH,DATE,MODEL,PO NO 1.,Item,PO NO 2.,DEST,QTY,PO TYPE,REPACKING PO,REPACKING ,RESULT,PARTIAL Q'TY,"PARTIAL
NO",BUILDING,LINE,TQC NUM,EMPLOYEE NO,QTY INSPECTION,OFFICIAL INSPECTOR,INSPECTOR TYPE,DESCRIPTION,REMARKS,INTERNAL INSPECTOR,Stitching issue,Wrong Packing issue(prs),NOTE
9,9/3/2025,Tensaur Sport 2.0 CF I,901223112,1,901223112-1,United Kingdom,600,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 04-2,40A,625060019,80,MRS.NHI,CFA,"Crooked Toe Cap(1),Wobbling(2)",,,,,
9,9/3/2025,Tensaur Sport 2.0 CF I,901338723,1,901338723-1,Argentina,"1,699",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 04-2,40A,625060019,125,MRS.NHI,CFA,"Dirty O'S(3),Wobbling(3)",,,,,
9,9/3/2025,Tensaur Sport 2.0 CF I,901339657,1,901339657-1,Saudi Arabia,405,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 10-2,29A,624030533,50,MS.HUỲNH,CFA,"Bonding Gap(1),Wobbling(1)",,,,,
9,9/3/2025,Tensaur Sport 2.0 CF I,901371177,1,901371177-1,Turkey,400,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 05-2,R4A,620080362,50,MS.HUỲNH,CFA,"Bonding Gap(1),Dirty O'S(1)",,,,,
9,9/3/2025,Tensaur Sport 2.0 CF I,901373461,1,901373461-1,Utd.Arab Emir.,639,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 11-1,9A,622080458,80,MR.NHỨT,CFA,Dirty Upper(1),,,,,
9,9/3/2025,Tensaur Sport 2.0 CF I,901373682,1,901373682-1,Kazakhstan,680,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 05-1,23A,624110228,80,MRS.NHI,CFA,Dirty Upper(3),,,,,
9,9/3/2025,Tensaur Sport 2.0 CF I,901373797,1,901373797-1,Kazakhstan,680,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 04-2,40A,625060019,80,MRS.NHI,CFA,"Dirty O'S(2),Bonding Gap(2),Dirty Upper(1)",,,,,
9,9/3/2025,Tensaur Sport 2.0 CF I,901376659,1,901376659-1,Utd.Arab Emir.,660,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 05-2,R4A,620080362,80,MRS.NHI,CFA,"Dirty O'S(2),Poor Attaching(2)",,,,,
9,9/3/2025,Tensaur Sport 2.0 CF I,901381548,1,901381548-1,Morocco,560,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 05-2,R4A,620080362,80,MR.NHỨT,CFA,Over Cement(2),,,,,
9,9/3/2025,Tensaur Sport 2.0 CF I,901386709,1,901386709-1,Ukraine,380,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 05-1,23A,624110228,50,MRS.LY,MANAGER,No issue,,CFA(NGÂN)AQL->TOP MANAGER(MRS.LY),,,
